"ServerName","ID","Domain","ServerName","","Priority","FindingsGroup","Finding","DatabaseName","URL","Details","CheckID"
"MSI","24005","","MSI","2026-03-15 20:13:50 +13:00","0","sp_Blitz Nov 24 2025 12:00AM","SQL Server First Responder Kit","","http://FirstResponderKit.org/","To get help or add your own contributions, join us at http://FirstResponderKit.org.","-1"
"MSI","24006","","MSI","2026-03-15 20:13:50 +13:00","1","Backup","Backing Up to Same Drive Where Databases Reside","","https://www.brentozar.com/go/backup","5655 backups done on drive C:\ in the last two weeks, where database files also live. This represents a serious risk if that array fails.","93"
"MSI","24007","","MSI","2026-03-15 20:13:50 +13:00","20","File Configuration","TempDB on C Drive","tempdb","https://www.brentozar.com/go/cdrive","The tempdb database has files on the C drive.  TempDB frequently grows unpredictably, putting your server at risk of running out of C drive space and crashing hard.  C is also often much slower than other drives, so performance may be suffering.","25"
"MSI","24008","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","Capitec_PowerBI","https://www.brentozar.com/go/cdrive","The Capitec_PowerBI database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24009","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","LXLCloudGateway","https://www.brentozar.com/go/cdrive","The LXLCloudGateway database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24010","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","PBIReportServer","https://www.brentozar.com/go/cdrive","The PBIReportServer database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24011","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","PBIReportServerTempDB","https://www.brentozar.com/go/cdrive","The PBIReportServerTempDB database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24012","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","PerformanceMonitor","https://www.brentozar.com/go/cdrive","The PerformanceMonitor database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24013","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","ReportServer","https://www.brentozar.com/go/cdrive","The ReportServer database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24014","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","ReportServerTempDB","https://www.brentozar.com/go/cdrive","The ReportServerTempDB database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24015","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","SQLDBA.ORG","https://www.brentozar.com/go/cdrive","The SQLDBA.ORG database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24016","","MSI","2026-03-15 20:13:50 +13:00","20","Reliability","User Databases on C Drive","SQLWATCH","https://www.brentozar.com/go/cdrive","The SQLWATCH database has a file on the C drive.  Putting databases on the C drive runs the risk of crashing the server when it runs out of space.","26"
"MSI","24017","","MSI","2026-03-15 20:13:50 +13:00","50","Performance","Poison Wait Detected: RESOURCE_SEMAPHORE","","https://www.brentozar.com/go/poison/#RESOURCE_SEMAPHORE","0:00:13:16 of this wait have been recorded. This wait often indicates killer performance problems.","107"
"MSI","24018","","MSI","2026-03-15 20:13:50 +13:00","50","Performance","Recovery Interval Not Optimal","SQLWATCH","https://sqlperformance.com/2020/05/system-configuration/0-to-60-switching-to-indirect-checkpoints","The database [SQLWATCH] has a target recovery interval of 0, which is a legacy default, and should be changed to 60.","257"
"MSI","24019","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[000_AllChecks_ConsultantTasks].[IX_01] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24020","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[000_AllChecks_ConsultantTasks].[IX_SQLDBA_2023_10_27_002] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24021","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases].[IX_2022_05_06_3] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24022","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases].[IX_2022_05_06_4] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24023","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases].[IX_2022_05_06_7] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24024","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases].[IX_2022_05_06_8] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
"MSI","24025","","MSI","2026-03-15 20:13:50 +13:00","100","Performance","Indexes Disabled","SQLDBA.ORG","https://www.brentozar.com/go/ixoff","The index [SQLDBA.ORG].[dbo].[002_Databases].[IX_LEXEL_2022_06_09_002] is disabled.  This index is not actually helping performance and should either be enabled or removed.","47"
